downloaded_at,species_latin,recording_id,source_url,download_url,target_path,status,bytes,message
2026-05-24T11:01:17,Tettigonia viridissima,847772,https://xeno-canto.org/847772,https://xeno-canto.org/847772/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/tettigonia-viridissima/XC847772-BL20230626-04010038.wav,downloaded,1561316,
2026-05-24T11:01:18,Tettigonia viridissima,847775,https://xeno-canto.org/847775,https://xeno-canto.org/847775/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/tettigonia-viridissima/XC847775-BL20230626-04010041.wav,downloaded,1645284,
2026-05-24T11:01:19,Tettigonia viridissima,847777,https://xeno-canto.org/847777,https://xeno-canto.org/847777/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/tettigonia-viridissima/XC847777-BL20230626-04010043.wav,downloaded,1909476,
2026-05-24T11:01:20,Tettigonia viridissima,847778,https://xeno-canto.org/847778,https://xeno-canto.org/847778/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/tettigonia-viridissima/XC847778-BL20230626-04010044.wav,downloaded,1856228,
2026-05-24T11:01:20,Tettigonia viridissima,847781,https://xeno-canto.org/847781,https://xeno-canto.org/847781/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/tettigonia-viridissima/XC847781-BL20230626-04010047.wav,downloaded,2041568,
2026-05-24T11:01:22,Gryllus campestris,967471,https://xeno-canto.org/967471,https://xeno-canto.org/967471/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/gryllus-campestris/XC967471-G-campestris-d31_Chanteix-19_220517_1552_0209S1+++.wav,downloaded,5738560,
2026-05-24T11:01:23,Gryllus campestris,967484,https://xeno-canto.org/967484,https://xeno-canto.org/967484/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/gryllus-campestris/XC967484-G-campestris-n15_Chanteix-19_220513_2242_0193S1+++.wav,downloaded,6270552,
2026-05-24T11:01:25,Gryllus campestris,967442,https://xeno-canto.org/967442,https://xeno-canto.org/967442/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/gryllus-campestris/XC967442-G-campestris-c14_Chanteix-19_20210422_211055_01+++.wav,downloaded,6541922,
2026-05-24T11:01:28,Gryllus campestris,1095680,https://xeno-canto.org/1095680,https://xeno-canto.org/1095680/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/gryllus-campestris/XC1095680-G-campestris-n09_Chanteix-19_250505_2225_0874S1+++.wav,downloaded,10062238,
2026-05-24T11:01:30,Gryllus campestris,967483,https://xeno-canto.org/967483,https://xeno-canto.org/967483/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/gryllus-campestris/XC967483-G-campestris-n14_Chanteix-19_220506_2139_0162S1+++.wav,downloaded,6875736,
2026-05-24T11:01:32,Gryllus campestris,967489,https://xeno-canto.org/967489,https://xeno-canto.org/967489/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/gryllus-campestris/XC967489-G-campestris-n18_Masegoso-ES-AB_230701_2318_0709S1+++.wav,downloaded,7025290,
2026-05-24T11:01:34,Gryllus campestris,967476,https://xeno-canto.org/967476,https://xeno-canto.org/967476/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/gryllus-campestris/XC967476-G-campestris-n10_Chanteix-19_230425_2149_0565S1+++.wav,downloaded,7157840,
2026-05-24T11:01:36,Gryllus campestris,967447,https://xeno-canto.org/967447,https://xeno-canto.org/967447/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/gryllus-campestris/XC967447-G-campestris-c18_Chanteix-19_220508_2123_0167S1+++.wav,downloaded,7720544,
